"Level","Shloka Name","Type","Question","Options","Correct Answer"
"Level 1","Karagre Vasate","multiple_choice","Which deity do we pray to in ""Karagre Vasate""?","Bhumi Devi (Mother Earth); Deepa (Sacred Lamp); Brahman (Supreme Reality); Lakshmi, Saraswati, Govinda","Lakshmi, Saraswati, Govinda"
"Level 1","Pradakshina Shloka","multiple_choice","In which direction do we walk during Pradakshina?","Clockwise; Counter-clockwise; Any direction; North to South","Clockwise"
"Level 1","Vakratunda Mahakaya","multiple_choice","""Vakratunda Mahakaya"" comes from which scripture?","Mudgala Purana; Yajur Veda; Bhagavad Gita; Taittiriya, Katha, Mandukya Upanishads","Mudgala Purana"
"Level 1","Guru Brahma","multiple_choice","The word ""Guru"" is made of two parts: ""Gu"" means darkness, ""Ru"" means _______.","Remover; Light; Teacher; God","Remover"
"Level 1","Tvameva Mata","multiple_choice","What does ""Tvameva Mata"" express about devotion?","Complete dependence on the divine; Respecting our parents; Learning from teachers; Loving our friends","Complete dependence on the divine"
"Level 1","Rama Taraka Mantra","multiple_choice","True or False: ""Rama Taraka Mantra"" is chanted daily chanting.","True; False","True"
"Level 1","Rama Taraka Mantra","multiple_choice","""Rama Taraka Mantra"" is a prayer for what?","Success and obstacle removal; Easy devotion through chanting; Respecting nature; Purifying water","Easy devotion through chanting"
"Level 1","Rama Skandham","multiple_choice","""Rama Skandham"" is a prayer for what?","Success and obstacle removal; Strength and wisdom; Peaceful sleep; Blessing food","Peaceful sleep"
"Level 1","Vakratunda Mahakaya","multiple_choice","Which of these facts about ""Vakratunda Mahakaya"" is true?","Often chanted at the start of yoga classes; Very popular in Maharashtra during Ganesh Chaturthi; Recited during Deepavali; Hanuman is considered the 11th Rudra","Very popular in Maharashtra during Ganesh Chaturthi"
"Level 1","Sarve Bhavantu Sukhinah","multiple_choice","What is the main message of ""Sarve Bhavantu Sukhinah""?","Wishing happiness for all beings; Journey from ignorance to enlightenment; Gratitude for sacred rivers; Meditating on Vishnu's form","Wishing happiness for all beings"
"Level 1","Shantakaram (Vishnu Dhyana)","multiple_choice","What is the main message of ""Shantakaram (Vishnu Dhyana)""?","Power of light over darkness; Everything is Brahman; Removing obstacles and achieving success; Describing and meditating on Vishnu's form","Describing and meditating on Vishnu's form"
"Level 1","Rama Taraka Mantra","multiple_choice","""Rama Taraka Mantra"" comes from which scripture?","Taittiriya, Katha, Mandukya Upanishads; Brihadaranyaka Upanishad (1.3.28); Vishnu Sahasranama (Phala Shruti); Yajur Veda","Vishnu Sahasranama (Phala Shruti)"
"Level 1","Samudra Vasane","multiple_choice","Which deity do we pray to in ""Samudra Vasane""?","Sacred Rivers; Hanuman; Shiva; Bhumi Devi (Mother Earth)","Bhumi Devi (Mother Earth)"
"Level 1","Annapurna Shloka","multiple_choice","When should we chant ""Annapurna Shloka""?","Prayer for forgiveness / Complete surrender; Before eating; Daily chanting; For strength and intelligence","Before eating"
"Level 1","Devi Shloka (Sarvamangala)","multiple_choice","When should we chant ""Devi Shloka (Sarvamangala)""?","Before bathing; Daily chanting; Devi worship / Navaratri; Before eating","Devi worship / Navaratri"
"Level 1","Brahmarpanam","multiple_choice","Which of these is mentioned in ""Brahmarpanam""?","sky; offering; gold; birds","offering"
"Level 1","Shanti Mantra (Sahana Vavatu)","multiple_choice","Which deity do we pray to in ""Shanti Mantra (Sahana Vavatu)""?","Rama; Universal Prayer; Shiva; Durga/Narayani/Parvati","Universal Prayer"
"Level 1","Tvameva Mata","multiple_choice","Which deity do we pray to in ""Tvameva Mata""?","Sacred Rivers; Shiva; Hanuman; Universal (Any deity)","Universal (Any deity)"
"Level 1","Pradakshina Shloka","multiple_choice","Which of these facts about ""Pradakshina Shloka"" is true?","These are the Sapta Sindhus - seven sacred rivers; Pradakshina means 'to the right' - clockwise direction; From Chapter 15 of Bhagavad Gita; One of the most universal Hindu prayers","Pradakshina means 'to the right' - clockwise direction"
"Level 1","Guru Brahma","multiple_choice","True or False: ""Guru Brahma"" is chanted lighting the lamp.","True; False","False"
"Level 1","Sarve Bhavantu Sukhinah","multiple_choice","Which of these facts about ""Sarve Bhavantu Sukhinah"" is true?","Often chanted at the start of yoga classes; One of the most universal Hindu prayers; Also called Pavamana Mantra; Very popular in Maharashtra during Ganesh Chaturthi","One of the most universal Hindu prayers"
"Level 1","Shanti Mantra (Sahana Vavatu)","multiple_choice","Which of these is mentioned in ""Shanti Mantra (Sahana Vavatu)""?","ocean; trees; peace; birds","peace"
"Level 1","Ganga Shloka","multiple_choice","What blessing do we ask for in ""Ganga Shloka""?","Prosperity and knowledge; Transforms ordinary water into sacred tirtha (holy water); Peace and successful learning; Merit of thousand names","Transforms ordinary water into sacred tirtha (holy water)"
"Level 1","Brahmarpanam","multiple_choice","True or False: ""Brahmarpanam"" is chanted before eating.","True; False","True"
"Level 1","Shanti Mantra (Sahana Vavatu)","multiple_choice","What is the deeper meaning of ""Shanti Mantra (Sahana Vavatu)""?","Power of light over darkness; Peace, protection, and learning together; Everything is Brahman; Power of chanting God's name","Peace, protection, and learning together"
"Level 1","Shantakaram (Vishnu Dhyana)","multiple_choice","In ""Shantakaram"", what does ""padma-naabham"" (lotus-naveled) refer to?","Brahma emerged from a lotus at Vishnu's navel; Vishnu loves lotus flowers; Vishnu's navel is shaped like a lotus; Lakshmi sits on a lotus","Brahma emerged from a lotus at Vishnu's navel"
"Level 1","Buddhir Balam (Hanuman Shloka)","multiple_choice","What is the deeper meaning of ""Buddhir Balam (Hanuman Shloka)""?","Gaining eight blessings from Hanuman; Complete surrender; God as the digestive fire; Gratitude for sacred rivers","Gaining eight blessings from Hanuman"
"Level 1","Buddhir Balam (Hanuman Shloka)","multiple_choice","What is the main message of ""Buddhir Balam (Hanuman Shloka)""?","Gaining eight blessings from Hanuman; Seeking blessings from Divine Mother; Wishing happiness for all; Respecting Mother Earth","Gaining eight blessings from Hanuman"
